Algorithm,Problem,Exp,Indicator,Value,obj
1,4,2,2,0.220550290602124,3
1,4,2,3,0.554412692585714,3
1,4,3,1,2.2173208,3
1,4,3,2,0.223318385255408,3
1,4,3,3,0.557014278938634,3
1,4,4,1,2.2698533,3
1,4,4,2,0.220453050216024,3
1,4,4,3,0.557144735598873,3
1,4,5,1,2.208689,3
1,4,5,2,0.221401934864804,3
1,4,5,3,0.555241263633149,3
1,4,6,1,2.2074432,3
1,4,6,2,0.221957622881867,3
1,4,6,3,0.552796039121028,3
1,4,7,1,2.2408599,3
1,4,7,2,0.218780572167741,3
1,4,7,3,0.552502819366044,3
1,4,8,1,2.2160853,3
1,4,8,2,0.216506537850333,3
1,4,8,3,0.553993404918082,3
1,4,9,1,2.2822997,3
1,4,9,2,0.219259242373162,3
1,4,9,3,0.555583962497384,3
1,4,10,1,2.2276905,3
1,4,10,2,0.222012958294971,3
1,4,10,3,0.555894693056443,3
1,4,11,1,2.2191497,3
1,4,11,2,0.22300470155451,3
1,4,11,3,0.554437977198188,3
1,4,12,1,2.2154164,3
1,4,12,2,0.219934044906008,3
1,4,12,3,0.555024352804593,3
1,4,13,1,2.2269888,3
1,4,13,2,0.218842072330175,3
1,4,13,3,0.548718347664243,3
1,4,14,1,2.2255913,3
1,4,14,2,0.220358879953458,3
1,4,14,3,0.551429508025098,3
1,4,15,1,2.2149008,3
1,4,15,2,0.220662900401049,3
1,4,15,3,0.551677458769201,3
1,4,16,1,2.2652035,3
1,4,16,2,0.225417353677857,3
1,4,16,3,0.557591921961564,3
1,4,17,1,2.2483967,3
1,4,17,2,0.216842019671952,3
1,4,17,3,0.555287787642003,3
1,4,18,1,2.237335,3
1,4,18,2,0.218278571444382,3
1,4,18,3,0.556272697702493,3
1,4,19,1,2.219482,3
1,4,19,2,0.217267674518842,3
1,4,19,3,0.556393677775209,3
1,4,20,1,2.2038715,3
1,4,20,2,0.218143345122423,3
1,4,20,3,0.554696643581736,3
2,4,1,1,4.4691074,3
2,4,1,2,0.190753502010686,3
2,4,1,3,0.574670266112568,3
2,4,2,1,5.3125863,3
2,4,2,2,0.190757316758014,3
2,4,2,3,0.574677358367071,3
2,4,3,1,4.5693278,3
2,4,3,2,0.190759285112508,3
2,4,3,3,0.574681195531744,3
2,4,4,1,4.5058784,3
2,4,4,2,0.190814228418392,3
2,4,4,3,0.574548542596748,3
2,4,5,1,5.2358336,3
2,4,5,2,0.735442779441524,3
2,4,5,3,0.346243244685586,3
2,4,6,1,4.6977405,3
2,4,6,2,0.190753318151459,3
2,4,6,3,0.574698037556329,3
2,4,7,1,4.925712,3
2,4,7,2,0.19079393770652,3
