Algorithm,Problem,Exp,obj,Indicator,value
MOEA/D,F4,13,7D,DeltaP,0.693641744625075
MOEA/D,F4,13,10D,DeltaP,0.890991759161769
MOEA/D,F4,13,15D,DeltaP,0.771266390784552
MOEA/D,F4,14,3D,DeltaP,0.999995318411675
MOEA/D,F4,14,5D,DeltaP,0.421265891435618
MOEA/D,F4,14,7D,DeltaP,0.999376811131518
MOEA/D,F4,14,10D,DeltaP,0.836958948752526
MOEA/D,F4,14,15D,DeltaP,0.855237872119738
MOEA/D,F4,15,3D,DeltaP,0.99999771575687
MOEA/D,F4,15,5D,DeltaP,0.421266514667089
MOEA/D,F4,15,7D,DeltaP,0.784570245908526
MOEA/D,F4,15,10D,DeltaP,0.943884379422741
MOEA/D,F4,15,15D,DeltaP,0.876389280347399
MOEA/D,F4,16,3D,DeltaP,0.999999156033513
MOEA/D,F4,16,5D,DeltaP,0.462920606074531
MOEA/D,F4,16,7D,DeltaP,0.693716326419019
MOEA/D,F4,16,10D,DeltaP,0.890986180530213
MOEA/D,F4,16,15D,DeltaP,0.8714213912678
MOEA/D,F4,17,3D,DeltaP,0.999996675986334
MOEA/D,F4,17,5D,DeltaP,0.985418914635301
MOEA/D,F4,17,7D,DeltaP,0.784563818435491
MOEA/D,F4,17,10D,DeltaP,0.890992953752191
MOEA/D,F4,17,15D,DeltaP,0.830331307680431
MOEA/D,F4,18,3D,DeltaP,0.999995884895687
MOEA/D,F4,18,5D,DeltaP,0.421264259303064
MOEA/D,F4,18,7D,DeltaP,0.693672217255143
MOEA/D,F4,18,10D,DeltaP,0.782893223725581
MOEA/D,F4,18,15D,DeltaP,0.911854289034489
MOEA/D,F4,19,3D,DeltaP,2.3565983000573e-06
MOEA/D,F4,19,5D,DeltaP,0.985372204991373
MOEA/D,F4,19,7D,DeltaP,0.784619105786747
MOEA/D,F4,19,10D,DeltaP,0.783158197350972
MOEA/D,F4,19,15D,DeltaP,0.830280333970406
MOEA/D,F4,20,3D,DeltaP,0.999998052467117
MOEA/D,F4,20,5D,DeltaP,0.42126514512559
MOEA/D,F4,20,7D,DeltaP,0.693705499992802
MOEA/D,F4,20,10D,DeltaP,0.837011283520572
MOEA/D,F4,20,15D,DeltaP,0.895026617315538
MOEA/D,F5,1,3D,DeltaP,0.00224719722079625
MOEA/D,F5,1,5D,DeltaP,0.97725733727293
MOEA/D,F5,1,7D,DeltaP,0.991981549016381
MOEA/D,F5,1,10D,DeltaP,0.99996981469844
MOEA/D,F5,1,15D,DeltaP,0.999965234721894
MOEA/D,F5,2,3D,DeltaP,0.00380326818481147
MOEA/D,F5,2,5D,DeltaP,0.985486447716531
MOEA/D,F5,2,7D,DeltaP,0.989564190643225
MOEA/D,F5,2,10D,DeltaP,0.999950810372074
MOEA/D,F5,2,15D,DeltaP,0.999930048330623
MOEA/D,F5,3,3D,DeltaP,0.000190072360874316
MOEA/D,F5,3,5D,DeltaP,0.985005441714543
MOEA/D,F5,3,7D,DeltaP,0.993074407678265
MOEA/D,F5,3,10D,DeltaP,0.999982472892332
MOEA/D,F5,3,15D,DeltaP,0.99994805306259
MOEA/D,F5,4,3D,DeltaP,0.00279550138993301
MOEA/D,F5,4,5D,DeltaP,0.98365381744411
MOEA/D,F5,4,7D,DeltaP,0.986831606729948
MOEA/D,F5,4,10D,DeltaP,0.999957704231315
MOEA/D,F5,4,15D,DeltaP,0.999966231862786
MOEA/D,F5,5,3D,DeltaP,0.00398455917623686
MOEA/D,F5,5,5D,DeltaP,0.985041963098277
MOEA/D,F5,5,7D,DeltaP,0.988959598908156
MOEA/D,F5,5,10D,DeltaP,0.999945610848195
MOEA/D,F5,5,15D,DeltaP,0.99996976294367
MOEA/D,F5,6,3D,DeltaP,0.00293349055023995
MOEA/D,F5,6,5D,DeltaP,0.989484197371096
